pk2,ticker_bbg,trade_date,market_cap_usd,job_id,fetched_at
196-1,MELI US Equity,2025-11-26,103083.5941,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-28,105033.4077,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-01,104666.8671,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-02,107270.6744,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-03,107469.4073,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-04,108469.6627,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-05,104761.6708,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-08,105873.967,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-12-09,105170.2901,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-10,99910.4575,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-11,102398.6752,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-12,102199.9422,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-15,99709.1897,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-16,98034.1548,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-17,97149.9959,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-18,99592.5862,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-19,101273.1977,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-22,101072.4369,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-23,101144.4269,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-24,101303.616,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-26,101683.8449,118,2025-12-30T18:43:47.792575
196-1,MELI US Equity,2025-12-29,102153.3008,118,2025-12-30T18:43:47.792575
